id,Moitf_name,Cluster,myc_myb_down_count,myc_myb_down_freq,myc_myb_down_freq_norm,myc_down_myb_not_count,myc_down_myb_not_freq,myc_down_myb_not_freq_norm,myb_down_myc_not_count,myb_down_myc_not_freq,myb_down_myc_not_freq_norm,log2_myc_myb_down_freq_norm,log2_myc_down_myb_not_freq_norm,log2_myb_down_myc_not_freq_norm
UN0374.1,NAC037,2,33,0.001709756,1.152422199,68,0.001520097,1.024586586,319,0.001369834,0.923305243,0.204669356,0.035041909,-0.115120416
UN0346.1,ANAC057,2,46,0.002383296,1.150722072,105,0.002347208,1.13329765,466,0.002001074,0.966174278,0.202539429,0.180526821,-0.04964465
MA0944.1,ARF8,13,24,0.001243459,1.150162369,47,0.001050655,0.971824509,257,0.001103596,1.020793694,0.201837542,-0.041232278,0.029691322
MA1372.1,STZ,35,36,0.001865188,1.14817288,76,0.001698931,1.045828454,365,0.001567364,0.964838425,0.199339884,0.064646227,-0.051640731
MA0555.1,SVP,23,47,0.002435107,1.140332973,99,0.002213082,1.036361083,441,0.00189372,0.886807498,0.189455148,0.051526746,-0.173307127
MA1173.1,MYB101,10,47,0.002435107,1.138396576,54,0.001207136,0.564327949,395,0.001696189,0.792957226,0.187003228,-0.825394292,-0.334685049
UN0344.1,ANAC028,2,26,0.00134708,1.135104945,59,0.001318907,1.111365105,304,0.001305421,1.100001289,0.182825687,0.152332848,0.137505214
MA1276.1,AT3G52440,15,36,0.001865188,1.133103549,95,0.002123664,1.290127943,352,0.001511541,0.918262196,0.180279708,0.367514146,-0.123021942
MA1206.1,ARF2,13,27,0.001398891,1.132518542,54,0.001207136,0.977276362,279,0.001198068,0.969935161,0.179534671,-0.033161498,-0.044039787
MA1336.1,TGA3,19,21,0.001088027,1.127929666,51,0.001140072,1.18188434,307,0.001318304,1.36665232,0.173677109,0.241088859,0.450646264
MA1047.2,TGA5,19,23,0.001191648,1.125812983,65,0.001453033,1.37275758,352,0.001511541,1.428032275,0.170967191,0.457076877,0.514028586
MA1000.1,ERF105,1,25,0.00129527,1.125712078,54,0.001207136,1.049115139,338,0.001451422,1.261423624,0.170837878,0.06917302,0.335052857
MA1398.1,KUA1,24,23,0.001191648,1.125242571,60,0.001341262,1.266518815,274,0.001176597,1.111030097,0.17023604,0.340868509,0.151897899
MA1159.1,SGR5,9,71,0.003678566,1.123439172,156,0.00348728,1.06502031,721,0.003096082,0.945547655,0.167922013,0.090880943,-0.080777924
