id,35S,BS,BS_35S,log2_BS_35S
AT3G01060,3.57501,2.06232,0.576872,-0.793676855
AT5G35490,0.629504,0.361419,0.574133,-0.800543114
AT1G79270,0.92544,0.528225,0.570782,-0.808988256
AT1G71030,3.01722,1.72105,0.570409,-0.80993135
AT1G75100,1.71895,0.978975,0.569518,-0.812186655
AT4G26850,10.443,5.91423,0.566334,-0.82027495
AT2G42975,0.677846,0.3775,0.556912,-0.844478716
AT1G26761,0.725239,0.40377,0.55674,-0.844924355
AT1G66920,0.249094,0.137754,0.553021,-0.85459383
AT2G32540,0.518836,0.286003,0.55124,-0.859247516
AT2G29170,0.0425941,0.0233714,0.548699,-0.865913148
AT1G30700,0.116573,0.0637986,0.547287,-0.869630507
AT5G51030,0.0254779,0.0139381,0.547066,-0.870213199
AT5G25130,0.469844,0.255037,0.542813,-0.881472822
AT3G26170,0.336947,0.182313,0.541072,-0.88610751
AT5G54470,0.168527,0.0908895,0.539318,-0.89079191
AT5G59680,0.247146,0.133258,0.539188,-0.891139706
AT1G73870,1.22567,0.65747,0.536419,-0.898567756
AT5G64190,0.113375,0.0604985,0.533615,-0.906128873
AT3G61220,1.90242,1.00724,0.529451,-0.917430924
AT2G45570,0.056098,0.0296847,0.529158,-0.918229537
AT2G30520,8.62252,4.55087,0.527789,-0.921966812
AT1G64950,0.72459,0.382395,0.527739,-0.922103492
AT4G21920,0.0254779,0.0134363,0.527373,-0.923104384
AT3G56360,4.52271,2.36105,0.522043,-0.93775945
AT2G21320,0.723042,0.376402,0.520581,-0.941805437
AT1G48745,0.337746,0.175819,0.520566,-0.941847008
AT1G72930,8.91803,4.606,0.516482,-0.953210025
AT5G26920,0.504053,0.260032,0.515881,-0.954889782
AT5G39520,0.0816938,0.0419935,0.514035,-0.960061501
AT2G37970,1.50792,0.763941,0.50662,-0.981024063
AT1G22500,0.180065,0.0909895,0.505315,-0.984745089
AT5G06320,3.69505,1.86587,0.504964,-0.985747556
AT1G18360,0.838549,0.422248,0.503547,-0.989801652
AT2G39518,0.0457965,0.0229697,0.501561,-0.995502922
AT5G54720,0.161733,0.0806943,0.498935,-1.003076218
AT5G24210,2.52524,1.25833,0.498299,-1.004916416
AT2G27660,0.129262,0.0643986,0.498203,-1.005194386
AT5G43860,0.056098,0.0277822,0.495243,-1.013791511
AT1G13650,2.42197,1.18961,0.491175,-1.025690963
AT2G28690,0.0206612,0.0100746,0.487607,-1.036209258
AT1G64500,2.21213,1.07286,0.484988,-1.043979044
AT3G14200,0.33475,0.159935,0.477775,-1.065596729
AT4G11521,0.0953874,0.0454961,0.476961,-1.06805679
AT4G02410,0.550998,0.26133,0.474286,-1.076170811
AT2G38170,6.49788,3.04648,0.468842,-1.092826279
AT4G12480,0.362418,0.169326,0.467211,-1.097853854
AT1G02230,0.0364911,0.0166475,0.456206,-1.132242674
AT5G42250,0.476086,0.216578,0.454913,-1.136337432
AT1G51860,0.144549,0.0651981,0.451045,-1.148656719
AT1G01250,0.0523976,0.0233714,0.446039,-1.164758235
AT4G22880,0.799547,0.355826,0.445034,-1.168012535
AT5G53450,1.71526,0.760346,0.443284,-1.173696804
AT4G12490,0.603235,0.266725,0.442157,-1.177369366
AT1G02340,0.117872,0.0518975,0.440289,-1.183477294
AT1G16730,0.598341,0.262529,0.438762,-1.188489512
AT3G55970,0.406067,0.176519,0.434703,-1.201898043
AT1G31820,0.27102,0.117672,0.434181,-1.203631501
AT4G15550,0.495064,0.21433,0.432935,-1.207777657
AT1G35290,0.0595984,0.0257284,0.431696,-1.21191237
AT3G04140,0.388288,0.167128,0.430423,-1.216172923
AT3G45130,0.0617982,0.0265801,0.430112,-1.217215712
AT4G15610,0.209386,0.0896902,0.42835,-1.223138006
AT4G10770,1.28479,0.549,0.427306,-1.22665852
AT1G03940,0.161833,0.068698,0.424499,-1.23616694
AT1G80130,0.412659,0.174421,0.422675,-1.242379311
AT1G10585,0.0747464,0.0315864,0.422581,-1.242700192
AT1G51790,0.145248,0.0611984,0.421336,-1.246956906
AT2G04100,0.0581982,0.0241735,0.415365,-1.26754844
AT5G54060,0.173921,0.0721973,0.415115,-1.268417031
AT1G76960,2.75745,1.13258,0.410737,-1.283713181
AT1G02390,0.111776,0.0458965,0.410611,-1.284155818
AT4G21380,0.483478,0.198196,0.409939,-1.286518846
AT4G37150,0.122568,0.0500469,0.408321,-1.292224327
AT2G43510,0.813879,0.331503,0.407313,-1.295790234
AT4G10120,2.16399,0.879897,0.406608,-1.298289494
AT5G17220,0.592998,0.239854,0.404477,-1.305870427
AT1G65490,3.81989,1.53818,0.402676,-1.312308606
AT4G37410,0.132459,0.0531975,0.401615,-1.316114941
AT2G29090,0.0958871,0.0380921,0.39726,-1.331844559
AT2G14560,5.79278,2.26646,0.391257,-1.353811531
AT3G08870,0.205489,0.0800946,0.389775,-1.359286535
AT1G33030,0.030085,0.0116283,0.386516,-1.371399959
AT5G01790,0.3778,0.145548,0.385252,-1.376125649
AT5G25120,0.343639,0.13156,0.382842,-1.385178984
